class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
Up,0.278050423,0.874788344,-0.41597718,0.999999464,0.263554305,0.891853154,-0.382338107,0.99999702,0.253165156,0.890903831,-0.382439017,0.999996662,0.244451135,0.889618278,-0.382398218,0.999996662,0.300857335,0.89366591,-0.391768634,0.999997497,0.314746469,0.893788099,-0.391953319,0.999997675,0.328767419,0.893349111,-0.39211157,0.999997735,0.24661015,0.878341854,-0.205708727,0.999990225,0.355250746,0.880645573,-0.263874561,0.999996603,0.266161084,0.852136552,-0.358312398,0.999999285,0.308257341,0.855528235,-0.374087095,0.999999523,0.161910966,0.738839746,-0.157647818,0.999981046,0.489385933,0.746791244,-0.236594662,0.999985516,0.128064275,0.594792545,-0.030173421,0.993145466,0.565213084,0.599937439,-0.179045245,0.996715724,0.118164182,0.455363065,-0.070117675,0.98829937,0.595347047,0.46459505,-0.250660896,0.98589462,0.110251606,0.415303349,-0.105959587,0.977734804,0.615605474,0.429042608,-0.2829521,0.971673191,0.125333875,0.415085465,-0.169979632,0.97753489,0.593979776,0.428098738,-0.3434591,0.97158742,0.135070726,0.429708004,-0.095818423,0.975517452,0.581050217,0.440263182,-0.275334239,0.972452641,0.256596297,0.482202202,0.026704464,0.999959946,0.441258878,0.486498326,-0.02750768,0.999969184,0.283623099,0.298060805,0.047963262,0.995516121,0.506847382,0.288706332,-0.038018391,0.997325003,0.29028821,0.145696476,0.331558049,0.994913399,0.61431247,0.152568206,0.219802111,0.995779872,0.313540876,0.125482768,0.341520607,0.938974559,0.618963599,0.139653027,0.231151581,0.89165467,0.237293929,0.066754274,0.140507966,0.989185214,0.667807043,0.070130445,0.011677858,0.990715921
Up,0.238817856,0.886478662,-0.765445292,0.999999404,0.222749189,0.903877914,-0.733960509,0.999996901,0.212459803,0.902583301,-0.733869195,0.999996603,0.202758223,0.900904715,-0.733852029,0.999996483,0.257390499,0.907039523,-0.736646831,0.999997497,0.271368027,0.907845557,-0.736858547,0.999997675,0.28536579,0.908136487,-0.736933351,0.999997675,0.202612519,0.888636231,-0.512090623,0.999990463,0.316383541,0.895199895,-0.541282356,0.999996662,0.227595985,0.863812864,-0.683017313,0.999999225,0.267127424,0.866815209,-0.690281987,0.999999464,0.118316963,0.746177375,-0.357253879,0.999975264,0.455707252,0.757922053,-0.436100423,0.99998492,0.082271457,0.598916769,-0.189170644,0.992981434,0.538458347,0.607478023,-0.346420437,0.997010112,0.068508178,0.45743233,-0.251486301,0.987927318,0.570123672,0.469079167,-0.423114985,0.984601319,0.060714744,0.413357079,-0.30138433,0.976342738,0.589398265,0.430964142,-0.461805969,0.969503045,0.078131653,0.41439119,-0.372754484,0.976334691,0.569517136,0.428432107,-0.532634497,0.969444454,0.088496312,0.431588948,-0.279668272,0.97473228,0.55522728,0.441865385,-0.451900095,0.970359087,0.239172369,0.488929629,0.029633999,0.999879658,0.422464222,0.497049719,-0.030331085,0.999955416,0.272101462,0.297725171,0.165803552,0.99383527,0.47367844,0.284366161,-0.088550456,0.996849835,0.289460599,0.148939669,0.60620153,0.991009295,0.538934469,0.086292438,-0.041460317,0.993956387,0.317442715,0.128715947,0.635820031,0.926865697,0.536238611,0.070835784,-0.055828236,0.852685392,0.235216498,0.068304561,0.4654755,0.982727408,0.544341326,0.012830812,-0.383322448,0.985702336
Up,0.231390655,0.885107875,-0.698907137,0.999999404,0.215201795,0.902895689,-0.670142472,0.999996841,0.204308599,0.901763678,-0.670110822,0.999996603,0.194358423,0.900309682,-0.670079768,0.999996424,0.250035703,0.905869186,-0.674474776,0.999997497,0.264277995,0.906731248,-0.674697101,0.999997735,0.279147834,0.907236636,-0.674822807,0.999997675,0.193434581,0.888554871,-0.462349176,0.999990463,0.312433541,0.895383835,-0.498232245,0.999996722,0.22035031,0.862290144,-0.622716486,0.999999225,0.259636015,0.865334809,-0.632017374,0.999999464,0.111121632,0.746220171,-0.327166706,0.999973536,0.451408118,0.759245098,-0.416896492,0.999985456,0.07373625,0.598865569,-0.175409853,0.9929986,0.537675738,0.607293248,-0.337280661,0.997078598,0.061560441,0.456529289,-0.245760426,0.987924874,0.569270194,0.468598336,-0.418921709,0.984571278,0.054665986,0.411810309,-0.294619411,0.976017535,0.587756693,0.428901821,-0.455898464,0.969363272,0.072095752,0.412888914,-0.364754617,0.976063967,0.567495048,0.426015347,-0.524833798,0.969360411,0.082165912,0.4300372,-0.273756146,0.974550307,0.553382099,0.439920247,-0.446250588,0.970285535,0.235094681,0.488899767,0.030054392,0.999839485,0.418775201,0.49690482,-0.030706575,0.999950647,0.27299571,0.298810631,0.208038643,0.992527425,0.468369246,0.277914554,-0.095797844,0.996577382,0.290258408,0.150526226,0.553115368,0.988515556,0.5346632,0.073234037,-0.140800014,0.993106663,0.319129616,0.130012304,0.572888374,0.917808533,0.534186363,0.051536564,-0.165801048,0.840749443,0.235199392,0.069006108,0.423530847,0.97912246,0.51756984,-0.015734237,-0.480193853,0.983283877
Up,0.229344264,0.884126425,-0.68205291,0.999999404,0.211190298,0.902144372,-0.65372777,0.999996841,0.200186282,0.901116252,-0.653695822,0.999996543,0.189435989,0.899805963,-0.653717816,0.999996364,0.246683955,0.905029953,-0.656708956,0.999997556,0.261554092,0.905874848,-0.656890571,0.999997795,0.27625227,0.906361222,-0.657028794,0.999997735,0.187412113,0.888382792,-0.439953923,0.999990463,0.310396969,0.894642591,-0.470752269,0.999996781,0.218470082,0.861685038,-0.601919472,0.999999225,0.259254158,0.86472553,-0.609787762,0.999999464,0.107159436,0.747584403,-0.301249474,0.999972463,0.448604465,0.759308875,-0.393258899,0.999986351,0.069263853,0.59880048,-0.153648004,0.992850721,0.537280679,0.607216001,-0.326803237,0.997127593,0.059465643,0.452040672,-0.227564961,0.987728179,0.565473795,0.46755302,-0.421968102,0.984737337,0.050178837,0.405688822,-0.282097638,0.975287795,0.582023084,0.425956666,-0.461671263,0.969585121,0.067549512,0.406040132,-0.352755666,0.975392401,0.56118536,0.423167437,-0.532762051,0.969615877,0.077552862,0.423279434,-0.256190121,0.973949611,0.547049344,0.437491,-0.449372411,0.970442772,0.234542161,0.487867385,0.035942491,0.999809325,0.416051209,0.496491253,-0.036546361,0.999949396,0.273503065,0.286287248,0.203125402,0.991410971,0.457504451,0.26624909,-0.126207829,0.996451318,0.29179278,0.150180385,0.676595986,0.984179974,0.518770754,0.050206438,-0.207988679,0.992469072,0.320934147,0.130462304,0.71327883,0.905446351,0.520749211,0.028556405,-0.234822795,0.831245124,0.234121859,0.068717808,0.605827451,0.973549187,0.480214506,-0.041548923,-0.555514395,0.981311798
Up,0.226283073,0.883759499,-0.711195588,0.999999404,0.208427876,0.902184486,-0.681580126,0.999996841,0.197785243,0.901192129,-0.681560099,0.999996543,0.186637953,0.899979711,-0.681510091,0.999996364,0.243614286,0.905057311,-0.684558868,0.999997556,0.257911861,0.90591985,-0.684759498,0.999997795,0.272045732,0.906419992,-0.684863448,0.999997735,0.183437631,0.888521492,-0.465601325,0.999990523,0.305468321,0.894975007,-0.495233715,0.999996781,0.214813143,0.860956848,-0.631601214,0.999999225,0.25541386,0.864041507,-0.639176726,0.999999464,0.101378873,0.748519838,-0.322949141,0.999971151,0.445862263,0.76107949,-0.414338708,0.999986589,0.066838913,0.599026442,-0.178063825,0.992900431,0.533255517,0.60708797,-0.344470888,0.997178733,0.052899487,0.452112675,-0.262703031,0.98788321,0.560157657,0.467551976,-0.443616956,0.984772146,0.044714779,0.405817449,-0.314479917,0.975252867,0.57513541,0.424302906,-0.483314782,0.969530821,0.062451929,0.406136334,-0.388207257,0.975367248,0.55713582,0.421570659,-0.552540541,0.969610393,0.071850441,0.423164546,-0.292537302,0.97402221,0.543180287,0.436504751,-0.470978171,0.970484316,0.226652324,0.488529831,0.03590484,0.999769092,0.411293387,0.496416718,-0.036501817,0.99994278,0.270997465,0.287202001,0.169206724,0.990122378,0.445412517,0.266310394,-0.115324087,0.996022046,0.293013126,0.149169534,0.562162697,0.980647266,0.475839347,0.052346971,-0.151278153,0.991339326,0.323802501,0.130401403,0.587034822,0.894162416,0.476136655,0.032581735,-0.174923882,0.817673862,0.233615309,0.068138473,0.446063727,0.968807518,0.4589293,-0.038449261,-0.491360992,0.978493273
Up,0.225401476,0.886051297,-0.845198452,0.999999344,0.206221864,0.90543282,-0.812136292,0.999996722,0.195535675,0.904602766,-0.812044799,0.999996364,0.184540272,0.903476417,-0.812044978,0.999996185,0.242256865,0.907824397,-0.81462127,0.999997497,0.256849051,0.90843451,-0.814840794,0.999997735,0.272110313,0.908701003,-0.814939499,0.999997735,0.179982409,0.891597688,-0.573035657,0.999990106,0.305205852,0.896602511,-0.601953924,0.999996722,0.213238627,0.862657845,-0.755569577,0.999999166,0.255302548,0.865430832,-0.762723088,0.999999464,0.097180501,0.749339461,-0.396738261,0.999967456,0.44741559,0.761614501,-0.493900955,0.999986887,0.060874552,0.597876906,-0.23067461,0.992687464,0.534330904,0.603915572,-0.419436067,0.997160256,0.050609145,0.447363526,-0.318143845,0.98775804,0.561646044,0.463601798,-0.519996107,0.984881878,0.041271392,0.399212003,-0.378198236,0.974630296,0.578936338,0.419924945,-0.566684365,0.969604373,0.060225591,0.400317252,-0.453955799,0.974820018,0.55861479,0.417863905,-0.638479531,0.969743729,0.06962315,0.417250574,-0.348587155,0.973592997,0.544062614,0.432371497,-0.548170924,0.970568895,0.224904448,0.485645771,0.040002916,0.999723017,0.410013705,0.491687894,-0.040585294,0.999937892,0.270934343,0.283762842,0.17210561,0.98924458,0.439605981,0.255190343,-0.1092861,0.995859325,0.294371307,0.146454781,0.712673843,0.977025151,0.479246646,0.059133876,-0.087006472,0.990795672,0.325163245,0.128797233,0.755057335,0.886934161,0.466846168,0.026839279,-0.103310876,0.811886609,0.231708124,0.066375084,0.627137005,0.964020014,0.450883806,-0.043457426,-0.420788556,0.976752877
Up,0.218497947,0.891069174,-1.087749004,0.999999106,0.199810863,0.911253154,-1.051194072,0.999995947,0.189109594,0.910335839,-1.051029325,0.999995351,0.177969381,0.909103334,-1.05098176,0.999995053,0.235353947,0.913784683,-1.059316039,0.999997079,0.250103295,0.914402246,-1.059591413,0.999997318,0.265297204,0.914793193,-1.059726715,0.999997318,0.175072208,0.896138072,-0.769614697,0.999988437,0.301594049,0.902242959,-0.821886063,0.999996185,0.207817465,0.866524935,-0.979304671,0.999998927,0.248309135,0.869295061,-0.993206024,0.999999404,0.092237778,0.750468552,-0.535518169,0.999963701,0.448072225,0.763496161,-0.675905824,0.999987245,0.056668375,0.597285032,-0.328326792,0.992422938,0.534689248,0.604112804,-0.608945072,0.997117221,0.048162796,0.446131319,-0.455663383,0.987699091,0.56371218,0.46359551,-0.733984351,0.985063076,0.036206014,0.396795571,-0.524701536,0.974100411,0.581521809,0.419386476,-0.792450547,0.969738185,0.055897128,0.397712529,-0.607562363,0.974419057,0.560042143,0.417502612,-0.875196695,0.969981134,0.066477165,0.415692747,-0.489306688,0.973363876,0.545263171,0.43191424,-0.766581714,0.970635951,0.225021169,0.480502099,0.055484291,0.999646246,0.412316978,0.485469222,-0.056011301,0.999926627,0.268072456,0.276894569,0.184057936,0.987961948,0.431907088,0.251639813,-0.099017449,0.995563388,0.294383377,0.145333782,0.954626024,0.970100939,0.472728699,0.06274917,0.134935677,0.989474773,0.325083345,0.128769085,1.020975232,0.876892984,0.472510785,0.041712902,0.141047761,0.803687513,0.231735855,0.066528179,0.870876133,0.955454111,0.430069834,-0.04140497,-0.224194884,0.972976446
Up,0.221477538,0.890946448,-1.030332327,0.999998868,0.203307793,0.911340475,-0.995824277,0.999995172,0.192570344,0.910495639,-0.995703697,0.999994278,0.181727707,0.909403145,-0.995745957,0.99999404,0.238418519,0.913524985,-0.998844087,0.999996662,0.252822816,0.913933039,-0.999098122,0.999996841,0.267736435,0.91407305,-0.999227703,0.99999696,0.178187117,0.897270799,-0.72428906,0.999986649,0.302255094,0.901818633,-0.751958609,0.99999547,0.210233793,0.867049992,-0.92505753,0.999998689,0.250473469,0.869396091,-0.931987882,0.999999285,0.090287998,0.750868917,-0.504097998,0.999957502,0.449248523,0.764083862,-0.616696298,0.999987066,0.053943899,0.59522444,-0.313505113,0.9918679,0.535789192,0.603830397,-0.541240275,0.996907234,0.047701664,0.440200925,-0.413358331,0.986723781,0.564056158,0.461408019,-0.642641723,0.984164715,0.037013531,0.390358537,-0.478126705,0.971717775,0.581598341,0.4157812,-0.695212483,0.967803121,0.056505654,0.391119689,-0.557055295,0.972225249,0.559756517,0.414159954,-0.770977199,0.968210936,0.0665773,0.408688873,-0.444751471,0.971463978,0.544750452,0.429076403,-0.672625363,0.968819201,0.224923104,0.476377368,0.056418683,0.999557734,0.412820309,0.482185215,-0.0569392,0.999912798,0.268459529,0.273166001,0.103304535,0.986624241,0.435135633,0.241277218,-0.105919026,0.995260239,0.294647515,0.143687859,0.862657368,0.961294591,0.469815612,0.050156515,0.097622246,0.98834753,0.325732082,0.127905905,0.929936647,0.862405121,0.46952334,0.03703336,0.100234821,0.794269741,0.230755925,0.065688111,0.79972446,0.944801807,0.426590949,-0.054686088,-0.247272745,0.969572008
Up,0.44081831,0.823202312,-0.445642263,0.999999285,0.418771744,0.839534044,-0.424451292,0.99999851,0.40763101,0.839219272,-0.424474955,0.999998391,0.398934722,0.838978827,-0.424474329,0.99999851,0.456414193,0.839160562,-0.419105262,0.999998391,0.467124522,0.838739634,-0.419102192,0.999998212,0.478305012,0.838182151,-0.419063359,0.999998331,0.381377488,0.830545068,-0.274482012,0.999997258,0.489581794,0.830014646,-0.253353924,0.999997497,0.419226557,0.805531383,-0.390582204,0.999999046,0.462768137,0.805644274,-0.384165019,0.999998927,0.295305103,0.724856496,-0.207876951,0.999996543,0.574011445,0.725281835,-0.183147416,0.999988973,0.249672666,0.599450111,-0.092804529,0.997591555,0.623627424,0.598947942,-0.084330969,0.994569242,0.250813484,0.475235939,-0.129423425,0.996057689,0.641241372,0.47934249,-0.161107913,0.987827361,0.245894507,0.438547701,-0.174325854,0.990825057,0.652734041,0.445275247,-0.20636557,0.975056231,0.272098422,0.440787792,-0.234923229,0.990610182,0.63273859,0.445558816,-0.268872768,0.975142717,0.2800439,0.453436196,-0.152195051,0.989263654,0.624377072,0.456748575,-0.188606709,0.975379646,0.372294575,0.492764026,-0.008356531,0.999978781,0.535814941,0.495441049,0.007543619,0.999970078,0.32542643,0.314880461,-0.005510385,0.9952389,0.575099766,0.316133112,0.042363118,0.995378852,0.27881363,0.180327147,0.196908116,0.993578494,0.601336837,0.188115999,0.240895763,0.992829859,0.29287526,0.167119354,0.198593289,0.900411606,0.580524325,0.170554727,0.245755941,0.87981087,0.245672911,0.10444168,-0.009648152,0.986438632,0.662264347,0.126509622,0.050951164,0.987003446
Up,0.43441245,0.821651757,-0.368191838,0.999999583,0.413386762,0.838163078,-0.346918344,0.999998808,0.403576016,0.837912321,-0.346974939,0.999998748,0.392115206,0.837757647,-0.346955448,0.999998868,0.449297547,0.837520838,-0.341412902,0.999998748,0.461942255,0.836857438,-0.341428995,0.999998689,0.471753001,0.835867047,-0.341429025,0.999998629,0.376258731,0.829621136,-0.203200206,0.999997675,0.48473534,0.827909112,-0.184129581,0.999998033,0.413500458,0.80401665,-0.31745407,0.999999344,0.455497175,0.80415976,-0.311313778,0.999999225,0.286714613,0.724131346,-0.147483587,0.99999702,0.564832687,0.722814322,-0.130862921,0.999989867,0.240603417,0.597650647,-0.042863734,0.997718334,0.621338606,0.596082449,-0.049495604,0.995063722,0.24234271,0.474000275,-0.09813486,0.996402264,0.640740216,0.478666335,-0.13658081,0.988630772,0.236411482,0.43759805,-0.142611995,0.991644561,0.65327394,0.445084572,-0.181130201,0.976432323,0.264414251,0.440455079,-0.20001629,0.991369545,0.633687496,0.445079923,-0.238325521,0.976308107,0.273212582,0.45290342,-0.12015529,0.990047216,0.62504679,0.456218153,-0.162089154,0.976525962,0.349622577,0.487813205,0.000964186,0.999981284,0.516180515,0.490265965,-0.001811675,0.999973595,0.305048436,0.308651596,-0.008792933,0.995907247,0.567044258,0.315515339,0.011808023,0.995983124,0.278270662,0.17832014,0.188555986,0.994535685,0.602393746,0.18671295,0.200826734,0.99379909,0.294606626,0.164949581,0.19202587,0.914115489,0.581896961,0.168928564,0.209187329,0.891983986,0.243842006,0.104865022,-0.002083224,0.988543034,0.661942124,0.123367913,0.019008325,0.988704205
