class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
Down,0.546602786,0.923746228,-0.581480622,0.979484141,0.552808225,0.916137397,-0.590826869,0.973421454,0.556417048,0.914563715,-0.590905607,0.971136093,0.559464753,0.91300863,-0.591025054,0.976916075,0.541898727,0.914492488,-0.612965465,0.981959105,0.537496507,0.911958516,-0.613115311,0.980912864,0.532996297,0.909560263,-0.61326617,0.984917939,0.559840918,0.897877097,-0.535720825,0.972207606,0.524444044,0.895441592,-0.631144524,0.982651114,0.546649814,0.920928597,-0.547862589,0.983829021,0.533345759,0.918691516,-0.576602101,0.986441374,0.580428183,0.847544312,-0.413307756,0.992793739,0.460661381,0.878074706,-0.539766788,0.991984725,0.599006057,0.875780046,-0.216687575,0.310528487,0.390875608,0.938227296,-0.517933846,0.666814446,0.587308288,0.926116645,-0.147967413,0.150184229,0.358019501,1.003382087,-0.554972589,0.603518188,0.599211276,0.93313545,-0.169355974,0.141139045,0.338253289,1.024906754,-0.614541948,0.528663635,0.583275735,0.934366882,-0.195364833,0.15157862,0.354141146,1.023624539,-0.633042634,0.520783424,0.57280761,0.935062766,-0.156911686,0.139258653,0.360231012,1.017515302,-0.565720558,0.464832842,0.471127808,0.849080086,0.054397166,0.987720311,0.417165279,0.856302083,-0.05421377,0.9954862,0.440791428,0.876788974,0.407733738,0.150084525,0.397347629,0.873805165,0.321903139,0.208752304,0.403985679,0.868455946,0.863803387,0.076944627,0.368392169,0.864023685,0.751987875,0.39572832,0.395321429,0.861075699,0.912751973,0.156614095,0.362135172,0.855168462,0.796840787,0.408031046,0.403708428,0.888469875,0.886576235,0.05110538,0.367135704,0.895499706,0.755710602,0.179666832
Up,0.559100389,0.922055066,-0.604848266,0.977934182,0.566402912,0.914061606,-0.613425553,0.969321072,0.571051061,0.911166489,-0.613517463,0.967854559,0.575379848,0.908379555,-0.613711059,0.974834263,0.551355004,0.917951882,-0.628528893,0.979987383,0.546109438,0.917656004,-0.628660858,0.979187131,0.541858077,0.917107046,-0.628755987,0.983063161,0.569476247,0.886030853,-0.56508559,0.967073739,0.527969897,0.9125247,-0.629232585,0.976447523,0.559726655,0.917571723,-0.573775232,0.981111765,0.54271102,0.919526398,-0.593035996,0.983322859,0.577956319,0.835917354,-0.454770654,0.9931162,0.442300171,0.884392619,-0.534584224,0.989460528,0.603036523,0.884406626,-0.310340375,0.355526984,0.371729314,0.964462876,-0.507741392,0.692834914,0.638834298,0.945660114,-0.294947654,0.221654117,0.362978369,1.032239914,-0.568851113,0.632132053,0.63742286,0.969296336,-0.328979492,0.214393497,0.358554035,1.04637301,-0.635547042,0.560310304,0.620714843,0.977106929,-0.354966491,0.228210717,0.37659958,1.0394696,-0.654096067,0.55512464,0.606413007,0.977137566,-0.305347741,0.212747768,0.382504284,1.033921003,-0.581977308,0.495857894,0.447710425,0.865985096,0.057366233,0.9886204,0.387203246,0.895014822,-0.057181448,0.99587208,0.437626123,0.890572429,0.40539673,0.131517574,0.393303066,0.929430306,0.317917824,0.215136617,0.38625288,0.886418819,0.846169591,0.091027774,0.367746264,0.919810653,0.740615308,0.41061902,0.376671165,0.878437161,0.8932935,0.166570604,0.361449152,0.907905877,0.785217881,0.406644791,0.387171119,0.914323151,0.871277928,0.057116218,0.378591686,0.95014143,0.766527236,0.203758776
Down,0.387416363,0.871577442,0.228986695,0.943865478,0.38522777,0.867215276,0.231857747,0.933427393,0.385509312,0.866272807,0.231798798,0.925054848,0.385825694,0.865339756,0.231647655,0.938428402,0.384818316,0.869615734,0.236698225,0.963890374,0.384694427,0.870560288,0.236751646,0.965166688,0.384577125,0.871498168,0.23663868,0.973024368,0.389333457,0.865922928,0.24125585,0.9299981,0.387330115,0.875171483,0.259414226,0.971388221,0.392116845,0.873984396,0.230524153,0.953596354,0.391166419,0.877175391,0.235336706,0.964091837,0.411102921,0.875719845,0.158246532,0.987971783,0.402723312,0.898046792,0.248682335,0.982289076,0.443284273,0.866837621,0.140348122,0.297089785,0.428495556,0.907431424,0.122852154,0.556841254,0.417290837,0.853838325,0.216778204,0.149786755,0.428067744,0.897171676,0.006583572,0.453567117,0.413940489,0.855720401,0.218836755,0.141997963,0.431382358,0.897806823,0.005944818,0.401229113,0.409925908,0.850696921,0.23277393,0.152565688,0.431373745,0.896884978,0.009592411,0.399944663,0.410435617,0.851204813,0.225062102,0.143624768,0.430352628,0.894883275,0.005702225,0.345783055,0.529528677,0.933511853,-0.040413328,0.975453854,0.508876383,0.948165238,0.039862864,0.988106728,0.53826797,0.974597931,-0.158619091,0.18706423,0.436537594,0.988286555,0.007434865,0.221058741,0.600912094,0.971469223,-0.05213517,0.125275046,0.510073721,0.959463418,0.045667969,0.314307511,0.605722249,0.966972709,-0.039309077,0.187949747,0.522750795,0.946337342,0.048053782,0.314345062,0.636336744,0.982453942,-0.031468727,0.101460189,0.531570375,0.976861775,0.037137669,0.191219002
Down,0.382134676,0.871967614,0.369036943,0.951088727,0.38296935,0.867691517,0.382283658,0.94392556,0.383701116,0.8663252,0.382291287,0.936773002,0.384833634,0.8634094,0.382130086,0.948521078,0.379919857,0.870138049,0.387535423,0.968768895,0.379407853,0.871236742,0.387545913,0.969721138,0.378875524,0.872367382,0.387385547,0.976270199,0.389502734,0.862953007,0.405981779,0.94181633,0.382893801,0.87522316,0.42976132,0.97546351,0.388784885,0.873295724,0.373482496,0.959068537,0.386433393,0.877301753,0.379841655,0.967572331,0.418876946,0.852433085,0.314406604,0.989911139,0.397805542,0.903239369,0.382428318,0.981042027,0.440643847,0.854542375,0.362044632,0.258399099,0.392271817,0.915038764,0.331782907,0.457015902,0.434189767,0.846420884,0.509133518,0.132320195,0.362481594,0.887016714,0.358495444,0.373909473,0.436979681,0.847298145,0.52751261,0.12793158,0.358455151,0.880964339,0.373321384,0.336204499,0.437856704,0.843091071,0.533104599,0.136305362,0.359936953,0.881324291,0.38045606,0.334125459,0.435010135,0.844347596,0.51449281,0.130387038,0.361280918,0.880699635,0.359843463,0.2913118,0.530505061,0.905261099,-0.037669305,0.980086744,0.49191615,0.943615973,0.037374247,0.990294456,0.613696218,0.942525089,-0.23914063,0.332578868,0.402352512,0.986396015,-0.08734452,0.26338461,0.561661839,0.966294348,-0.072563574,0.139057234,0.490344435,0.991046488,-0.134697571,0.274814993,0.542736351,0.96333921,-0.059943736,0.205078021,0.503098309,0.983371615,-0.140613526,0.279392213,0.567152619,0.987984717,-0.052569594,0.11713545,0.533161998,1.004489899,-0.194294468,0.181749731
Up,0.528143227,0.856286824,-1.055997014,0.97512567,0.537756085,0.848582208,-1.052542686,0.970962942,0.542714655,0.847370505,-1.052579045,0.966128111,0.546858251,0.845591128,-1.052788377,0.973546267,0.525869071,0.846946895,-1.060801268,0.984695673,0.521603525,0.844207346,-1.060995698,0.984643459,0.517183363,0.840963781,-1.061143517,0.987540543,0.558761418,0.834246337,-0.908031344,0.967434525,0.510743499,0.819259524,-0.963457644,0.985910296,0.534153998,0.855144858,-0.987353742,0.974837661,0.518748164,0.853579462,-0.997974455,0.979842365,0.594453931,0.830098808,-0.717207372,0.994530618,0.463680506,0.787953198,-0.735502541,0.989843249,0.620654583,0.936251044,-0.710192978,0.530501246,0.403246909,0.860290051,-0.785194755,0.678822935,0.624868512,1.035107493,-0.836201608,0.286866277,0.408320457,0.960106313,-0.899650693,0.497035861,0.640339255,1.050284147,-0.898392081,0.239019394,0.403536886,0.981569111,-0.971472383,0.41814521,0.635120094,1.048683286,-0.93254751,0.271379083,0.429979324,0.983703315,-0.982160211,0.406446636,0.622498512,1.042022586,-0.85547179,0.232105106,0.433714598,0.977532506,-0.908813298,0.342292249,0.531503737,0.853529274,-0.007129266,0.983255863,0.46137324,0.817177713,0.007531486,0.992434323,0.514838398,0.901590288,-0.071017861,0.268976271,0.414468706,0.830137551,0.08510302,0.308105141,0.452546626,0.885817051,0.425871164,0.097105324,0.371012598,0.842971206,0.529431522,0.187309355,0.445981026,0.875950754,0.473158151,0.118803985,0.369877666,0.839403629,0.57051605,0.152572289,0.428918898,0.902195752,0.369815499,0.148812369,0.340340674,0.86682409,0.478183717,0.195176676
Up,0.528060794,0.868293345,-1.194458246,0.979085386,0.537943721,0.86011517,-1.18849647,0.975362599,0.542835176,0.858756542,-1.188562036,0.971177101,0.547393918,0.857340932,-1.188789725,0.976940989,0.525303662,0.85698539,-1.195721865,0.986526489,0.520321071,0.853284895,-1.195925832,0.986459374,0.516079187,0.849253297,-1.196090937,0.988336325,0.55830735,0.841797352,-1.020074487,0.971174002,0.510343254,0.824737489,-1.048567414,0.987744749,0.532438695,0.86890161,-1.118845701,0.978689909,0.517998457,0.864505768,-1.127261996,0.982946873,0.597204745,0.839056194,-0.796683967,0.995359957,0.457764864,0.795295358,-0.83056432,0.991145611,0.619993627,0.954990268,-0.820851207,0.581669748,0.393135548,0.888807356,-0.862115085,0.72957027,0.625493586,1.052959085,-0.974404812,0.33193326,0.395974159,0.987678587,-0.980335772,0.555622518,0.643295646,1.070189476,-1.047791958,0.280952305,0.390619546,1.007129312,-1.058598638,0.474369228,0.634230912,1.066957951,-1.08356297,0.320189863,0.418148994,1.008381844,-1.073692203,0.463872731,0.621410489,1.059016824,-0.99570322,0.273202211,0.423072487,1.001907945,-0.991260171,0.392667681,0.536475956,0.869135022,-0.008859114,0.981555998,0.462182939,0.825388789,0.00922213,0.990565836,0.50520891,0.912293315,0.252563268,0.245401785,0.410051018,0.828104556,0.336756736,0.298658192,0.462784022,0.896449149,0.866172731,0.085144609,0.366737396,0.841749787,0.860278547,0.163525388,0.456040591,0.884913027,0.922865033,0.10121122,0.363923788,0.83890897,0.908102036,0.132789388,0.440995872,0.917916,0.820906579,0.131896377,0.334837496,0.866138637,0.797321141,0.176291376
Up,0.533152878,0.884226382,-0.862508714,0.979760468,0.54294157,0.875218332,-0.862661362,0.976632655,0.54737854,0.873418629,-0.8627491,0.972325265,0.552940547,0.878989697,-0.863092601,0.976795137,0.528767228,0.87203294,-0.869194925,0.985677123,0.52299124,0.867869973,-0.869397342,0.985566616,0.51901722,0.863561988,-0.869518459,0.986434937,0.559736907,0.85324806,-0.730481803,0.9713462,0.51534313,0.840836108,-0.75673306,0.988085687,0.53591454,0.884686351,-0.798840463,0.980648339,0.521959484,0.879832923,-0.806347549,0.984315157,0.598540783,0.852129996,-0.550722718,0.99571991,0.464172035,0.809954226,-0.558757603,0.990403652,0.638107002,0.955286145,-0.514321268,0.599592149,0.40070489,0.883601189,-0.565303743,0.74005127,0.636181176,1.033931851,-0.613308132,0.328271031,0.40138647,0.957230926,-0.677678108,0.547332346,0.651938617,1.050446868,-0.656626046,0.280437171,0.394112825,0.973524749,-0.724377096,0.472477913,0.642584741,1.047105908,-0.691517353,0.322377473,0.413709939,0.973882496,-0.750064194,0.463333398,0.629744411,1.040817618,-0.629251599,0.276891321,0.420077354,0.970211029,-0.689798892,0.388083577,0.540671051,0.886080563,-0.00760417,0.976459622,0.470760524,0.838019431,0.008033523,0.988012075,0.544495165,0.926595807,-0.386206895,0.247467831,0.412360936,0.805948734,-0.285904586,0.311267674,0.462468237,0.952320755,-0.040994551,0.100084707,0.370829791,0.866579592,-0.008806521,0.173665166,0.451161712,0.949201226,-0.007958303,0.110483162,0.369144142,0.878092587,0.017078888,0.147401467,0.438787639,0.975826085,-0.125888959,0.137399361,0.345211923,0.879849255,-0.09205272,0.18068561
Up,0.548036158,0.926667213,-0.889076173,0.928730369,0.5569731,0.92015028,-0.895440161,0.952917755,0.561717212,0.919215262,-0.895459294,0.938408017,0.566170096,0.917827964,-0.895748675,0.95149368,0.544243753,0.91778487,-0.909290314,0.968258202,0.539673686,0.91485852,-0.909526646,0.966846168,0.535259664,0.911513507,-0.909686446,0.973336279,0.574526608,0.902447999,-0.782794476,0.949099123,0.52451551,0.891533852,-0.846534669,0.983578086,0.552539229,0.926754355,-0.831408381,0.942194939,0.535324574,0.923365533,-0.850379407,0.955535352,0.603017986,0.884313941,-0.571238339,0.994390726,0.465316683,0.851516545,-0.653135717,0.988562763,0.660114348,0.950562894,-0.437966853,0.573783875,0.413730532,0.862055838,-0.590785563,0.717403054,0.653958321,0.992944539,-0.465451926,0.285738051,0.386010408,0.879652679,-0.614817798,0.459135383,0.662485957,1.009052992,-0.485556126,0.234245345,0.376704216,0.880450428,-0.646635234,0.393784195,0.656325817,1.007496595,-0.508996308,0.270720333,0.398188144,0.878271163,-0.668823719,0.385792851,0.647159517,1.001340151,-0.475195974,0.236884609,0.403281212,0.879100442,-0.624127269,0.325849742,0.547095716,0.878552437,0.026369974,0.980021775,0.473886967,0.848846734,-0.025992984,0.990250707,0.557336867,0.918647289,0.412781328,0.200959489,0.417236507,0.873982966,0.213075891,0.275241852,0.519927561,0.921851099,0.873041153,0.077529252,0.378116399,0.872097909,0.563601494,0.146384627,0.512426078,0.919001162,0.91966027,0.087151542,0.373036146,0.869238496,0.595760763,0.122463234,0.513272941,0.943402946,0.859377563,0.110805765,0.3678177,0.89752233,0.499440521,0.15840283
Down,0.3968876,0.889859796,0.283153147,0.903809726,0.39735207,0.883417428,0.281874835,0.944924295,0.39786312,0.881987691,0.281855881,0.927223325,0.398386627,0.880556643,0.281709015,0.934901237,0.396953374,0.88607794,0.29564625,0.963268876,0.397084862,0.88662523,0.29570052,0.961528301,0.397234142,0.887169719,0.295571268,0.969281733,0.404809803,0.876471519,0.26087746,0.950463712,0.402350962,0.886338413,0.322512001,0.982960701,0.402182579,0.890758991,0.272993028,0.936309099,0.401088625,0.894005418,0.29017511,0.951389849,0.417457402,0.878506958,0.169962645,0.98212409,0.420493186,0.901575267,0.316823959,0.981638074,0.420327485,0.888606191,0.233010024,0.318772882,0.410934865,0.918954968,0.373515666,0.475229114,0.39128089,0.883809924,0.399097055,0.149125218,0.373289764,0.913086355,0.464406073,0.284795433,0.387174696,0.886957943,0.416565925,0.128099889,0.366874516,0.913194001,0.482185096,0.24711521,0.388355672,0.883743882,0.416843325,0.139482096,0.367507041,0.912445962,0.480235755,0.240728483,0.388378531,0.884147048,0.404514462,0.130116418,0.368751019,0.91090399,0.463837773,0.219913572,0.510174274,0.9326002,-0.048848946,0.987990081,0.502238154,0.951072395,0.04844927,0.994060636,0.492776483,0.965921998,-0.144333392,0.435372502,0.429428041,0.991009653,0.057813141,0.310980707,0.528598607,0.974574506,-0.066758901,0.117907673,0.485990524,0.977297962,0.043411162,0.140781939,0.53252393,0.973941982,-0.05762887,0.182296768,0.495845854,0.968726575,0.039208088,0.155287802,0.549711108,0.983938217,-0.051864117,0.122235201,0.505149066,0.988158405,0.023901587,0.123949632
Down,0.388363391,0.874400258,0.30820027,0.91948396,0.392205238,0.86809504,0.326346725,0.954247594,0.394100845,0.866400659,0.326373786,0.939380646,0.395909071,0.864696443,0.326226443,0.946314394,0.387879163,0.872202754,0.335586637,0.96926105,0.38700062,0.87340796,0.335633457,0.96783632,0.386104584,0.874647915,0.335487366,0.974281132,0.405036688,0.863115132,0.368515283,0.959051073,0.392735183,0.87758249,0.410840809,0.985715747,0.397413045,0.876947284,0.317569643,0.946147203,0.392601162,0.881565094,0.329095572,0.959056854,0.442650616,0.863692403,0.296554506,0.984314203,0.405425608,0.910494506,0.363340944,0.983047664,0.440580755,0.87799561,0.327318698,0.274255008,0.3853921,0.926755369,0.262416959,0.397427201,0.403533667,0.867032051,0.482936442,0.132812276,0.359874278,0.899628043,0.215579852,0.244666964,0.396533668,0.867163777,0.497988284,0.116651654,0.353776008,0.895427823,0.21662946,0.225046262,0.396890074,0.863837421,0.507098794,0.124076523,0.358023196,0.893959582,0.225492075,0.216027111,0.396993577,0.866250813,0.489776194,0.116928264,0.36111477,0.89274174,0.214914411,0.199786216,0.534937084,0.924863458,-0.027170002,0.990260541,0.489081204,0.95288372,0.026809562,0.995146871,0.612172425,0.958631516,-0.227830529,0.535797715,0.365121454,0.979441643,-0.01500271,0.336514413,0.579002202,0.972856164,-0.132723808,0.128116012,0.454372197,0.97103554,-0.099909171,0.128678903,0.564909279,0.976435244,-0.121497579,0.22224009,0.466840118,0.960901141,-0.109093927,0.154790357,0.582434475,0.991621435,-0.134801164,0.142673418,0.471388072,0.977560341,-0.148260638,0.130115032
